"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21722","SSO Session Capture","chromium","2026-01-23","passed","2026-01-23","","auth.spec.js","",""
"E2E Test for SK","50950","[SK] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-13","passed","2026-01-13","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for HU","32667","[HU] xxxlutz - Payment: DEL (1P)","chromium","2026-01-22","failed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for HU","42092","[HU] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","42747","[DE] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-20","passed","2026-01-20","","E2E-Lutz-PayPal.spec.js","",""
"","1594","[SL] xxxlesnina - Payment: SP (1P)","chromium","2026-01-12","failed","2026-01-12","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for CH","53772","[CH] xxxlutz - Payment: KL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","51460","[DE] xxxlutz - Payment: KO (1P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","57400","[AT] xxxlutz - Payment: PP (1P)","chromium","2026-01-09","passed","2026-01-09","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for DE","11610","[DE] xxxlutz - Payment: CreditCard (2P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for DE","72851","[DE] xxxlutz - Payment: KO (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","72842","[AT] xxxlutz - Payment: KN (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","46769","[AT] xxxlutz - Payment: KO (1P)","chromium","2026-01-16","failed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","53753","[DE] xxxlutz - Payment: KO (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","27321","[AT] moemax - Payment: CC (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for RO","32370","[RO] xxxlutz - Payment: SP (1P)","chromium","2026-01-23","failed","2026-01-23","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for HR","29840","[HR] xxxlesnina - Payment: DEL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","94937","[DE] xxxlutz - Payment: KN (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","51665","[AT] xxxlutz - Payment: KL (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","34716","[DE] xxxlutz - Payment: CC (2P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for AT","26680","[AT] xxxlutz - Payment: CC (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for HU","51144","[HU] xxxlutz - Payment: CC (1P)","chromium","2026-01-21","failed","2026-01-21","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","43352","[DE] moemax - Payment: PP (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for RS","29149","[RS] xxxlesnina - Payment: DEL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for CZ","37217","[CZ] xxxlutz - Payment: ON (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","50278","[DE] xxxlutz - Payment: KL (1P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","73651","[AT] xxxlutz - Payment: KN (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for CH","34131","[CH] xxxlutz - Payment: TW (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for SI","50412","[SI] xxxlesnina - Payment: SP (1P)","chromium","2026-01-23","failed","2026-01-23","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for AT","56484","[AT] xxxlutz - Payment: KL (2P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","74179","[DE] xxxlutz - Payment: KN (1P)","chromium","2026-01-20","passed","2026-01-20","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","66510","[DE] xxxlutz - Payment: KL (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for SK","35377","[SK] xxxlutz - Payment: DEL (1P)","chromium","2026-01-22","failed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","36821","[DE] xxxlutz - Payment: PP (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for DE","78882","[DE] xxxlutz - Payment: KN (3P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","25272","[AT] moemax - Payment: CreditCard (1P)","chromium","2026-01-09","passed","2026-01-09","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for SK","38057","[SK] xxxlutz - Payment: PP (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for AT","43369","[AT] xxxlutz - Payment: BI (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Billie.spec.js","",""
"E2E Test for AT","48624","[AT] xxxlutz - Payment: KL (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","51076","[DE] moemax - Payment: CreditCard (1P)","chromium","2026-01-13","passed","2026-01-13","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for AT","67449","[AT] xxxlutz - Payment: KN (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","80382","[DE] xxxlutz - Payment: KL (2P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for HR","23810","[HR] xxxlesnina - Payment: CC (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
