"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","xxxlutz","1","AT","0","0","KN","0"
"0","xxxlutz","1","CH","0","0","TW","0"
"0","xxxlutz","1","AT","0","0","Credit Card","0"
"0","xxxlutz","1","HU","0","0","Credit Card","0"
"0","xxxlesnina","1","SI","0","0","DEL","0"
"0","xxxlutz","1","DE","0","0","KN","0"
"0","xxxlutz","1","DE","0","0","Paypal","0"
"0","xxxlutz","1","CZ","0","0","ON","0"
"0","xxxlesnina","1","HR","0","0","Credit Card","0"
"0","moemax","1","DE","0","0","Paypal","0"
"0","xxxlutz","0","SK","1","0","Paypal","0"
"0","xxxlutz","1","CZ","0","0","DEL","0"
"0","","0","","1","0","","0"
"0","xxxlutz","1","AT","0","0","Billie","0"
"0","moemax","1","AT","0","0","Credit Card","0"
"0","xxxlutz","1","AT","0","0","KL","0"
"0","xxxlutz","0","RO","1","0","SplitIT","0"
