"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"E2E Test for Country: SI - Rail: XXXLESNINA - Mode: 1P - Pay: DEL","30259","[SI] xxxlesnina - Payment: DEL (1P)","chromium","2026-04-14","failed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: CZ - Rail: XXXLUTZ - Mode: 1P - Pay: DEL","26569","[CZ] xxxlutz - Payment: DEL (1P)","chromium","2026-04-14","failed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: DE - Rail: XXXLUTZ - Mode: 1P - Pay: PayPal","39259","[DE] xxxlutz - Payment: PP (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-PayPal.spec.ts","",""
"E2E Test for Country: AT - Rail: XXXLUTZ - Mode: 1P - Pay: Credit card","35398","[AT] xxxlutz - Payment: CC (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-Credit.spec.ts","",""
"E2E Test for Country: CZ - Rail: XXXLUTZ - Mode: 1P - Pay: ON","29359","[CZ] xxxlutz - Payment: ON (1P)","chromium","2026-04-07","failed","2026-04-07","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: CH - Rail: XXXLUTZ - Mode: 1P - Pay: TW","30570","[CH] xxxlutz - Payment: TW (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: AT - Rail: XXXLUTZ - Mode: 1P - Pay: KN","94493","[AT] xxxlutz - Payment: KN (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: DE - Rail: MOEMAX - Mode: 1P - Pay: PayPal","35669","[DE] moemax - Payment: PP (1P)","chromium","2026-04-14","failed","2026-04-14","","E2E-Lutz-PayPal.spec.ts","",""
"E2E Test for xxxlutz-AT","55660","[AT] xxxlutz - Payment: BI (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-Billie.spec.ts","",""
"","27031","SSO Session Capture","chromium","2026-04-13","passed","2026-04-13","","auth.spec.ts","",""
"E2E Test for Country: AT - Rail: MOEMAX - Mode: 1P - Pay: Credit card","37983","[AT] moemax - Payment: CC (1P)","chromium","2026-04-14","failed","2026-04-14","","E2E-Lutz-Credit.spec.ts","",""
"E2E Test for Country: SK - Rail: XXXLUTZ - Mode: 1P - Pay: PayPal","43080","[SK] xxxlutz - Payment: PP (1P)","chromium","2026-04-07","passed","2026-04-07","","E2E-Lutz-PayPal.spec.ts","",""
"E2E Test for Country: AT - Rail: XXXLUTZ - Mode: 1P - Pay: KL","60499","[AT] xxxlutz - Payment: KL (1P)","chromium","2026-04-14","passed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
"E2E Test for Country: DE - Rail: XXXLUTZ - Mode: 1P - Pay: KN","81379","[DE] xxxlutz - Payment: KN (1P)","chromium","2026-04-14","failed","2026-04-14","","E2E-Lutz-Payments.spec.ts","",""
