"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"E2E Test for RO","32370","[RO] xxxlutz - Payment: SP (1P)","chromium","2026-01-23","failed","2026-01-23","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for AT","27806","[AT] moemax - Payment: CC (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-DE-KN","26249","[DE] xxxlutz - Payment: KN (3P)","chromium","2026-01-29","failed","2026-01-29","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for SK","35377","[SK] xxxlutz - Payment: DEL (1P)","chromium","2026-01-22","failed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for DE","66510","[DE] xxxlutz - Payment: KL (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","72842","[AT] xxxlutz - Payment: KN (3P)","chromium","2026-01-16","passed","2026-01-16","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for HU","51144","[HU] xxxlutz - Payment: CC (1P)","chromium","2026-01-21","failed","2026-01-21","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlesnina-SI","30607","[SI] xxxlesnina - Payment: SP (1P)","chromium","2026-01-27","failed","2026-01-27","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for moemax-AT","29219","[AT] moemax - Payment: CC (1P)","chromium","2026-01-29","passed","2026-01-29","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for xxxlutz-DE","67470","[DE] xxxlutz - Payment: PP (1P)","chromium","2026-01-29","passed","2026-01-29","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for xxxlutz-CZ-ON","31632","[CZ] xxxlutz - Payment: ON (1P)","chromium","2026-01-27","passed","2026-01-27","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for RS","29149","[RS] xxxlesnina - Payment: DEL (1P)","chromium","2026-01-22","passed","2026-01-22","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for AT","31161","[AT] xxxlutz - Payment: KL (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-Payments.spec.js","",""
"E2E Test for SI","59107","[SI] xxxlesnina - Payment: SP (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for AT","36066","[AT] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-23","passed","2026-01-23","","E2E-Lutz-Credit.spec.js","",""
"E2E Test for DE","42747","[DE] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-20","passed","2026-01-20","","E2E-Lutz-PayPal.spec.js","",""
"E2E Test for xxxlutz-AT","27469","[AT] xxxlutz - Payment: GooglePay (1P)","chromium","2026-01-26","failed","2026-01-26","","E2E-Lutz-GooglePay.spec.js","",""
"E2E Test for AT","50463","[AT] xxxlutz - Payment: BI (1P)","chromium","2026-01-26","passed","2026-01-26","","E2E-Lutz-Billie.spec.js","",""
"","1594","[SL] xxxlesnina - Payment: SP (1P)","chromium","2026-01-12","failed","2026-01-12","","E2E-Lutz-SplitIT.spec.js","",""
"E2E Test for SK","50950","[SK] xxxlutz - Payment: CreditCard (1P)","chromium","2026-01-13","passed","2026-01-13","","E2E-Lutz-PayPal.spec.js","",""
